FID,OBJECTID_1,OBJECTID,KW,WA,TA,LU,Shape_Leng,Shape_Le_1,Shape_Area,Kecamatan_,Penduduk
0,16161,1988, ,PINYUNGAN,KECAMATAN,33.227.439.059.300.000,0.344110471226000,0.344110471226000,0.002724237839350,2,0
1,16162,1989, ,PATUK,KECAMATAN,71.512.721.401.999.900,0.417615229465000,0.417615229465000,0.005863405457640,2,0
2,16172,1999, ,SENTOLO,KECAMATAN,54.630.088.904.799.900,0.439929835484000,0.439929835484000,0.004479168374720,2,0
3,16186,2013, ,BANGUNTAPAN,KECAMATAN,35.378.270.645.299.900,0.471239726349000,0.471239726349000,0.002900510103150,2,0
4,16187,2014, ,GEDANGSARI,KECAMATAN,66.772.809.120.600.000,0.550363704733000,0.550363704733000,0.005474365263820,2,0
5,16193,2021, ,BERBAH,KECAMATAN,23.130.555.240.100.000,0.296304262910000,0.296304262910000,0.001896264045270,2,0
6,16219,2047, ,GANTIWARNO,KECAMATAN,26.824.283.865.700.000,0.439300216642000,0.439300216642000,0.002198920359580,2,0
7,16226,2054, ,MOYUDAN,KECAMATAN,27.407.717.519.399.900,0.326366481654000,0.326366481654000,0.002246750542010,2,0
8,16227,2055, ,PRAMBANAN,KECAMATAN,40.741.729.241.000.000,0.369162607676000,0.369162607676000,0.003339960501080,2,0
9,16232,2060, ,GAMPING,KECAMATAN,29.255.604.360.100.000,0.387046470716000,0.387046470716000,0.002398301825960,2,0
10,16233,2061, ,GODEN,KECAMATAN,26.976.567.729.500.000,0.399884957427000,0.399884957427000,0.002211358921390,2,0
11,16236,2064, ,NANGGULAN,KECAMATAN,39.072.938.643.699.900,0.360586937912000,0.360586937912000,0.003203082083630,2,0
12,16238,2066, ,DEPOK,KECAMATAN,34.824.225.752.099.900,0.415836854956000,0.415836854956000,0.002854658277710,2,0
13,16256,2084, ,PRAMBANAN,KECAMATAN,26.693.620.701.499.900,0.279855578713000,0.279855578713000,0.002188055753840,2,0
14,16260,2088, ,KALASAN,KECAMATAN,34.685.988.453.800.000,0.294232910468000,0.294232910468000,0.002843184176050,2,0
15,16263,2091, ,MINGGIR,KECAMATAN,26.889.679.833.599.900,0.254974620612000,0.254974620612000,0.002204049972380,2,0
16,16268,2096, ,MLATI,KECAMATAN,29.038.704.044.900.000,0.488415380206000,0.488415380206000,0.002380234205450,2,0
17,16273,2101, ,SEYEGAN,KECAMATAN,26.561.844.753.399.900,0.341512049783000,0.341512049783000,0.002177152800000,2,0
18,16301,2129, ,NGAGLIK,KECAMATAN,37.384.230.495.300.000,0.501656024331000,0.501656024331000,0.003064107850000,2,0
19,16305,2133, ,NGEMPLAK,KECAMATAN,37.563.309.802.600.000,0.537074301580000,0.537074301580000,0.003078755738080,2,0
20,16314,2142, ,SLEMAN,KECAMATAN,31.222.098.173.599.900,0.335857501054000,0.335857501054000,0.002558936500000,2,0
21,16322,2150, ,MANISRENGGO,KECAMATAN,30.836.773.574.199.900,0.293439280793000,0.293439280793000,0.002527314077630,2,0
22,16330,2158, ,KALIBAWANG,KECAMATAN,50.304.399.413.900.000,0.400073935192000,0.400073935192000,0.004122844502940,2,0
23,16362,2190, ,TEMPEL,KECAMATAN,32.032.186.826.699.900,0.331576137464000,0.331576137464000,0.002625168546530,2,0
24,16404,2232, ,CANGKRINGAN,KECAMATAN,45.310.174.361.999.900,0.360584663912000,0.360584663912000,0.003713065738930,2,0
25,16413,2241, ,TURI,KECAMATAN,39.787.543.319.400.000,0.361658843875000,0.361658843875000,0.003260469381400,2,0
26,16437,2265, ,PAKEM,KECAMATAN,53.365.634.760.600.000,0.464408603786000,0.464408603786000,0.004373067648420,2,0
27,16438,2266, ,SRUMBUNG,KECAMATAN,57.029.928.165.999.900,0.469262132629000,0.469262132629000,0.004672993552370,2,0
28,16439,2267, ,KEMALANG,KECAMATAN,57.694.131.302.000.000,0.448088351207000,0.448088351207000,0.004727658798790,2,0
29,16449,2277, ,MUSUK,KECAMATAN,79.806.079.543.500.000,0.563876927994000,0.563876927994000,0.006538974357390,2,0
30,17678,3893, ,UMBULHARJO,KECAMATAN,8.307.039.192.550.000,0.194460888167000,0.194460888167000,0.000681027424864,2,0
31,17680,3895, ,SEDAYU,KECAMATAN,34.116.818.479.899.900,0.272650368988000,0.272650368988000,0.002797034024020,2,0
32,17681,3896, ,GONDOKUSUMAN,KECAMATAN,4.141.975.322.590.000,0.096878503529900,0.096878503529900,0.000339545240660,2,0
33,17682,3897, ,JETIS,KECAMATAN,1.724.691.677.920.000,0.066759672738800,0.066759672738800,0.000141383439623,2,0
34,17683,3898, ,KASIHAN,KECAMATAN,31.671.008.412.199.900,0.402842915255000,0.402842915255000,0.002596546116000,2,0
35,17684,3899, ,TEGALREJO,KECAMATAN,2.993.589.554.480.000,0.117997677804000,0.117997677804000,0.000245400263723,2,0
