WA;LAKI-LAKI;PEREMPUAN;PENDUDUK
Berbah;25.528;25.768;51.296
Cangkringan;16.233;16.929;33.162
Depok;65.787;64.872;130.659
Gamping;47.343;47.530;94.873
Godean;37.362;37.890;75.252
Kalasan;36.253;36.752;73.005
Minggir;18.925;19.986;38.911
Mlati;48.732;49.136;97.868
Moyudan;18.394;19.396;37.790
Ngaglik;49.468;50.043;99.511
Ngemplak;30.449;31.476;61.925
Pakem;18.857;19.504;38.361
Prambanan;32.959;30.344;63.303
Seyegan;26.489;27.383;53.872
Sleman;34.182;35.072;69.254
Tempel;32.580;33.564;66.144
Turi;19.761;20.422;40.183
